X,Y,Evento,Assunto,Data,Ano,Pasta,Página,Local de a,Arquivo,Prática,Atores (ge,Resumo,Ciclo,icon_url
-43.940944869373,-19.9152048870486,Agentes à paisana no centro de Belo Horizonte,Autorização para concentração sindical do 1 de maio,1961/04/25,"1961","189","29",Praça Rio Branco,DOPS/DT,Comício/Concentração,Sindicatos,"É solicitada autorização para concentração sindical comemorativa do dia internacional do trabalho em 1º de maio e realização de Feira de Amostra, na Praça Rio Branco. Tranalhadores reclamam medidas concretas do governo.",Ciclo 1,./0.png
-43.941859,-19.919804,Agentes à paisana no centro de Belo Horizonte,"Reforma Agrária; Revolução Cubana",1961/04/26,"1961","189","31",FACE UFMG,DOPS/DT,Assembleia/Reunião,"Estudantes; Professores","É realizada conferência entre professores e estudantes da FACE sobre o tema: ""Questão Agrária, Estrutura e Reforma"".",Ciclo 1,./0.png
-43.9383524053986,-19.9191485641367,Ameaça de bomba na Agência do Banco do Brasil no centro,Ajuste tarifas táxis,1961/04/28,"1961","110","7",Área central,DOPS/DT,Passeatas,Trabalhadores,Passeata dos taxistas segue da área central ao Palácio do Governador com o objetivo de entregar ao Chefe do Executivo Mineiro uma proposta de aumento das tarifas de táxis.,Ciclo 1,./0.png
-43.939346,-19.917078,Ameaça de bomba no Colégio Santo Antônio,Melhoria de salários e de trabalho,1961/05/03,"1961","200","7",Sindicato dos Trabalhadores nas Indústrias de Fiação e Tecelagem de Belo Horizonte,DOPS,Assembleia/Reunião,Trabalhadores,Assembléia Extraordinária do Sindicato dos Empregados nas Indústrias de Fiação e Tecelagem de Minas Gerais para discutir o aumento dos salários da categoria,Ciclo 1,./0.png
-43.93995,-19.918779,Ameaça de bomba no COLTEC,Repressão camelôs,1961/05/23,"1961","197","80",Rua São Paulo com Carijós,DOPS/ DT,Ocupação de espaços públicos/coletivos,Trabalhadores,"Conflito entre vendedores ambulantes e policiais militares, após apreensão de mercadorias dos primeiros pelos segundos. Eles ""jogavam bombas e mamuchas de laranjas nos militares"" e contaram com apoio popular, reunindo cerca de 500 pessoas.",Ciclo 1,./0.png
-43.917673,-19.916048,Ameaça de bomba no IEMG,Melhorias Urbanas,1961/06/16,"1961","107","25",Praça Duque de Caxias,DOPS,Comício/Concentração,Associações comunitárias,Moradores do bairro Santa Tereza protestaram na Praça Duque de Caixias por conta da falta de água e aumento do valor do trolebus.,Ciclo 1,./0.png
-43.942432,-19.914887,Ameaça de greve de Servidores da Prefeitura de Belo Horizonte,Impacto das chuvas,1961/07/02,"1961","110","10",Centro de Choferes de Belo Horizonte,DOPS,Assembleia/Reunião,Movimento de moradores de favela,"Assembléia da Federação dos Trabalhadores Favelados, com presença de cerca de 80 moradores de favelas, com objetivo de discutir sobre a comissão nomeada pelo governo do estado para a reconstrução de barracos destruídos pelas chuvas.",Ciclo 1,./0.png
-43.942148,-19.919698,Apoio ao Cajá (Eduardo Nunes da Silva),Reuniões da UMES,1961/07/05,"1961","197","106",Sindicato dos Bancários,DOPS,Assembleia/Reunião,Estudantes,"São realizadas as reuniões plenárias da UMES (União Municipal de Estudantes) entre 5 a 8 de julho. São discutidos problemas que aflingiam os estudantes como falta de material didático, a reforma do ensino e as responsabilidade dos estudantes. É el",Ciclo 1,./0.png
-43.94664,-19.902232,"Apresentação da peça ""Brasil versão brasileira"" no Teatro Francisco Nunes","Festa do Motorista;
Inauguração do jornal ""O Farol""",1961/07/24,"1961","110","5","Praça em frente ao Conj. do IAPI, Rua Formiga, Rua Itapecerica, Av. Afonso Pena, Av. Brasil; Av. Antônio Carlos, até a Paróquia",DOPS,Evento,Trabalhadores,"Centro de Choferes de Belo Horizonte comemora o dia de São Crstóvão, padroeiro dos motoristas, na igreja do Santo homônimo. Houve a inauguração do jornal informativo da categoria, ""O Farol"", além de um desfile de automóveis e festejo na paróquia",Ciclo 1,./0.png
-43.942148,-19.919698,Apresentação do PL 87/1963,Melhoria de salários e de trabalho,1961/07/30,"1961","200","2",Sindicato dos Bancários,DOPS,Assembleia/Reunião,Trabalhadores,"Tecelões reúnem-se novamente para apreciação da proposta ou contra-proposta para aumento salarial, além de ratificar a decisão da reunião de 23 de julho de 1961 e programar uma greve geral para o dia 06 de agosto de 1961.",Ciclo 1,./0.png
-43.9366,-19.9181,Articulação contra o projeto Pró-Barreiro,Aumento do subsídio aos Deputados,1961/08/03,"1961","197","120",Esquina da Sinuca,DOPS/DT,Encenação,Estudantes,DCE da UFMG (antiga UMG) organiza na Esquina da Sinuca um júri simulado como ação contra a campanha dos deputados pelo aumento de seus subsídios.,Ciclo 1,./0.png
-43.5048,-19.5908,Assembéia Geral dos Bancários,Condições de trabalho - Mina Morro Velho,1961/08/17,"1961","-","-",Nova Lima,"Linha do tempo
1960-1983",Passeatas,Trabalhadores,"Seguindo a histórica marcha de 1953, em 1961 os mineiros mais uma vez se reúnem, sob liderança de Dazinho (José Gomes Pimenta) para protestar contra as insalubres condições de trabalho nas minas de Morro Velho (Nova Lima). Os operários e suas fam�",Ciclo 1,./0.png
-43.93956,-19.920212,Assembleia contra aumento de custo de vida,Melhoria de salários e de trabalho,1961/08/24,"1961","197","5",Assembleia Legislativa,DOPS,Comício/Concentração,Trabalhadores,"Programada uma concentração dos funcionários públicos estaduais em frente a Assembleia Legislativa, para pressionar os deputados a votarem na lei que aumentava os salários da classe.",Ciclo 1,./0.png
-43.93956,-19.920212,Assembleia da Federação de Trabalhdores Favelados de Belo Horizonte,Crise político militar,1961/09/16,"1961","290","93",Assembleia Legislativa,DOPS,Evento,Estudantes,Departamento Político do DCE organiza conferência sobre a crise político-militar na Assembleia Legislativa.,Ciclo 1,./0.png
-43.94664,-19.902232,Assembleia das professoras,Interesse da classe,1961/09/16,"1961","290","88","Edifício do IAPI, Av. Amazonas, sede da União dos Funcionários Públicos",DOPS,Assembleia/Reunião,Trabalhadores,"A fim de tratar assuntos de interesse da classe, os ferroviários organizam reunião na sede da União dos Funcionários Públicos",Ciclo 1,./0.png
-43.937461,-19.918366,Assembleia das professoras no DCE,Melhoria de salários e de trabalho,1961/09/25,"1961","290","101",UNSP,DOPS,Assembleia/Reunião,Trabalhadores,Funcionários de entidades federais se reuniriam para discutir sobre melhores salários e condições de trabalho.,Ciclo 1,./0.png
-43.936704,-19.925668,Assembleia das trabalhadoras Domésticas,Crise político militar,1961/09/30,"1961","290","103",Faculdade de Direito da UFMG,DOPS,Evento,Estudantes,"Uma série de conferências sobre a crise político militar no pais aconteceu na Escola Mineira e Direito, com convite a Lionel Brizola.",Ciclo 1,./0.png
-43.9383524053986,-19.9191485641367,Assembleia de trabalhadores da Mina Morro Vlho em Nova Lima,Greve dos bancários pelo centro,1961/10/17,"1961","-","-",Área central,"Linha do tempo
1960-1983",Piquete,Trabalhadores,"""[...] os bancários, já em número de 14000 na época, deflagraram uma greve que ocupou o centro da cidade, fazendo piquetes, com presença marcante de mulheres bancárias. Essas mobilizações ocorreram em frente aos bancos líderes do capital finance",Ciclo 1,./0.png
-43.936389,-19.923762,Assembléia do Sindicato dos Bancários,Melhorias Urbanas,1961/11/04,"1961","107",22/23,Prefeitura de Belo Horizonte,DOPS,Passeatas,Movimento de moradores de favela,"Agente do DOPS reporta a presença de cerca de 2000 moradores de favela em frente a prefeitura de Belo Horizonte no dia anterior. O objetivo da concentração era a entrega de um memorial com suas reivindicações. Como não foram recebidos, parte dos ma",Ciclo 1,./0.png
-43.93847,-19.918115,Assembleia dos ascensoristas,Melhoria de salários e de trabalho,1961/11/07,"1961","294","8",Asssociação das Professoras Primárias,DOPS,Assembleia/Reunião,Trabalhadores,Funcionários públicos estaduais se reuniram para discutir melhores condições de trabalho e salários.,Ciclo 1,./0.png
-43.9434197482088,-19.923788,Assembléia dos Funcionários Públicos Federais,Melhoria de salários e de trabalho,1961/11/08,"1961","294","10",Auditório da Secretaria de Saúde e Assistência,DOPS/ DT,Assembleia/Reunião,Trabalhadores,Assembleia geral dos funcionarios publicos estaduais por melhorias salariais e de condições de trabalho.,Ciclo 1,./0.png
-43.93956,-19.920212,Assembléia dos Funcionários Públicos Federais,Melhoria de salários e de trabalho,1961/11/09,"1961","294","6, 13",Assembleia Legislativa,DOPS/ DT,Comício/Concentração,Trabalhadores,"Os funcionários públicos estaduais se reuniram na Assembleia Legislativa, a fim de pressionar os deputados estaduais para que aprovassem a lei que aumentava os salários da classe.",Ciclo 1,./0.png
-43.9386367185041,-19.9189145779578,Assembléia dos servidores da Prefeitura de Belo Horizonte,Concentração-monstro seguida de passeata,1961/11/09,"1961","-","-",Praça Sete de Setembro,"Linha do tempo
1960-1983",Comício/Concentração,Funcionários Públicos,"Concentração-monstro de funcionários públicos estaduais para pressionar os deputados a votarem uma Lei de aumento para a classe; após houve uma passeata até a Praça 7.",Ciclo 1,./0.png
-43.9434197482088,-19.923788,Assembléia empregados dos Carris Urbanos de Belo Horizonte,Reforma agrária,1961/11/13,"1961","138","45",Auditório da Secretaria de Saúde e Assistência,DOPS/ DT,Assembleia/Reunião,Trabalhadores,"Cerca de 2.000 trabalhadores rurais de todo o país se reuniram em Belo Horizonte para o 1º Congresso Nacional dos Lavradores e Trabalhadores Agrícolas, com duração de 3 dias.",Ciclo 1,./0.png
-43.9366,-19.8364,Assembleia estudantil,Ocupação de terrenos,1961/11/15,"1961","294","18, 29, 30","Vila Santa Isabel (bairro Santa Efigênia, lotes coloniais da Ex-Colônia Bias Fortes)",DOPS/ DT,Ocupação de terras,Trabalhadores,"Cerca de 1500 famílias ocupam terrenos da ex-colônia Bias Fortes, no bairro Santa Efigênia. Foram construídos barracões, removidos no mesmo ano por choques armados da polícia civil e militar. 
A ocupação ocorreu após o I Congresso Nacional de La",Ciclo 1,./0.png
-44.0420426209726,-19.6175395683301,Assembléia Extraordinária dos Tecelões,Melhoria de salários e de trabalho,1961/11/27,"1961","294","33",Pedro Leopoldo,DOPS,Greve,Trabalhadores,"Trabalhadores têxteis da Companhia Industrial de Belo Horizonte ameaçam entrar em greve frente ao aumento de ""teares"", o que era taxado de ""alteração injusta, violenta e desumana e ilegal"".",Ciclo 1,./0.png
-43.940065,-19.916365,Assembleia geral dos funcionarios publicos estaduais seguida por passeata,"Melhorias Urbanas; Despejos",1961/12/04,"1961","276","2",Av. Afonso Pena nº 323 (sala nº 7),DOPS,Cartazes/Pixação,Movimento de moradores de favela,"Foram encontrados pelo DOPS cartazes que faziam alusão ao movimento dos moradores de favela, que na mesma data se programava para uma concentração em frente a prefeitura.",Ciclo 1,./0.png
-43.936389,-19.923762,Assembleia geral dos trabalhadores da Vale do Rio Doce,Despejos,1961/12/04,"1961","276","6",Prefeitura de Belo Horizonte,DOPS,Comício/Concentração,Movimento de moradores de favela,"Cerca de 5.000 moradores de favela se reúnem em frente a prefeitura para apresentar um memorial ao prefeito. Entre as reivindicações, pediam que nenhum barraco habitado fosse destruído sem que antes o morador fosse abrigado em outro local.",Ciclo 1,./0.png
-43.935634,-19.922916,Assembléia Geral Ordinária do Sindicato dos Trabalhadores nas Indústrias de Fiação e Tecelagem de Belo Horizonte,Melhoria de salários e de trabalho,1961/12/08,"1961","276","11",Teatro Francisco Nunes,DOPS,Passeatas,Trabalhadores,Passeata após Assembleia de funcionários públicos federais por melhoria salarial do Teatro Francisco Nunes até a Praça Sete.,Ciclo 1,./0.png
-43.935634,-19.922916,Assembleia IMACO,Melhoria de salários e de trabalho,1961/12/08,"1961","276","11",Teatro Francisco Nunes,DOPS,Assembleia/Reunião,Trabalhadores,"Assembleia de funcionários públicos federais para organização de movimento de reivindicação de salários 50% maiores e outros benefícios. Após a reunião, que durou até 23h, foi feita uma passeata até a Praça Sete.",Ciclo 1,./0.png
-43.941691,-19.916213,Assembleia Monstro dos universitários,Registro PCB,1961/12/11,"1961","276","13",Escola Técnica de Comércio Brasileira,DOPS,Coleta de dinheiro/ assinaturas,Partidos políticos,Coleta de assinaturas para pedido de registro do Partido Comunista Brasileiro por dois professores e um aluno da Escola Técnica de Comércio Brasileira.,Ciclo 1,./0.png
-43.94664,-19.902232,Assembleia na Faculdade de Medicina,Melhoria de salários e de trabalho,1961/12/13,"1961","276","19","UMSP, no edifício do IAPI",DOPS,Assembleia/Reunião,Trabalhadores,"Reunião dos servidores públicos municipais por melhores salários. Dentre as resoluções da reunião, foi acordada a realização de uma grande concetração no dia seguinte na Câmara Municipal.",Ciclo 1,./0.png
-43.937022,-19.918223,Assembleia no Colégio Santa Rita,Criação de Frente de Libertação Nacional,1961/12/18,"1961","276","23",PTB,DOPS,Assembleia/Reunião,Ativistas,Reunião da Frente de Libertação Nacional para discutir a criação e instalação da organização em Belo Horizonte.  Os principais temas da reunião foram Reforma Agrária e remessa de lucros para o exterior.,Ciclo 1,./0.png
-43.9434197482088,-19.923788,Assembleia no Colégio Santa Rita (Barreiro) contra o aumento da tarifa do ônibus,Reforma Agrária,1961/12/23,"1961","163","3",Auditório da Secretaria de Saúde e Assistência,DOPS,Evento,Trabalhadores,Realização da 1ª Concentração Regional de Agricultores em Belo Horizonte na Secretaria de Saúde e Assistência para discutir a Reforma Agrária. O evento foi promovido pela F.A.R.E.M. (Federação das Associações Rurais do Estado de Minas) e a So,Ciclo 1,./0.png
-43.942432,-19.914887,Assembleias Gerais em diversas faculdades,Melhoria de salários e de trabalho,1962/01/02,"1962","110","3",Centro de Choferes de Belo Horizonte,DOPS,Assembleia/Reunião,Trabalhadores,"Reunião dos motoristas de ônibus e auto-lotações de Belo Horizonte, em que foram discutidos os horários de serviço, folga semanal e o excesso de autoridade por parte do D.B.O. (Departamento de Bondes e Ônibus).",Ciclo 1,./0.png
-43.9386367185041,-19.9189145779578,Ataque à bomba ao carro do advogado Geraldo Magela de Almeida,Pixos a favor do aumento salarial,1962/02/07,"1962","107","17",Praça Sete de Setembro,DOPS,Cartazes/Pixação,Trabalhadores,"ronda (noturna) para retirada de ""pichamentos"" (cartazes) pelo aumento de salários funcionários da prefeitura --> Afonso Pena (próximo prefeitura), rua Goiás (ambos em árvores), Alfredo Balena (garagem da prefeitura),Pirulito da Praça 7, Rua da Bah",Ciclo 1,./0.png
-43.9380468040854,-19.9268340195234,Ataque à Igreja São Fancisco de Chagas,Pixos a favor do aumento salarial,1962/02/07,"1962","107","17",Rua da Bahia,DOPS,Cartazes/Pixação,Trabalhadores,"ronda (noturna) para retirada de ""pichamentos"" (cartazes) pelo aumento de salários funcionários da prefeitura --> Afonso Pena (próximo prefeitura), rua Goiás (ambos em árvores), Alfredo Balena (garagem da prefeitura),Pirulito da Praça 7, Rua da Bah",Ciclo 1,./0.png
-43.936176,-19.923168,"Ataque à sede do Jornal ""De Fato""",Melhoria de salários e de trabalho,1962/02/07,"1962","107","17",Av. Afonso Pena (próximo prefeitura),DOPS,Cartazes/Pixação,Trabalhadores,DOPS organiza ronda para a retirada de pixos que defendiam o aumento do salário dos funcionários da prefeitura feitos em alguns pontos da região centro-sul.,Ciclo 1,./0.png
-43.9313,-19.9262,Atentado à bomba à casa de Helena Greco,Melhoria de salários e de trabalho,1962/02/07,"1962","107","17",Av. Alfredo Balena (garagem da prefeitura),DOPS,Cartazes/Pixação,Trabalhadores,DOPS organiza ronda para a retirada de pixos que defendiam o aumento do salário dos funcionários da prefeitura feitos em alguns pontos da região centro-sul.,Ciclo 1,./0.png
-43.936141,-19.924974,Atentado à bomba à casa de Helena Greco,Melhoria de salários e de trabalho,1962/02/07,"1962","107","17",Rua Goiás (ambos em árvores),DOPS,Cartazes/Pixação,Trabalhadores,DOPS organiza ronda para a retirada de pixos que defendiam o aumento do salário dos funcionários da prefeitura feitos em alguns pontos da região centro-sul.,Ciclo 1,./0.png
-43.9434197482088,-19.923788,Atentado a bomba no D.A. da FACE,Contexto político-social,1962/02/28,"1962","189","17",Auditório da Secretaria de Saúde e Assistência,DOPS,Assembleia/Reunião,Partidos políticos,Reunião da Frente Renovadora Janista teceu críticas ao governo parlamentarista vigente à época,Ciclo 1,./0.png
-43.9366,-19.9181,Atentado à UTE,Aumento anuidades escolares,1962/02/28,"1962","189
FEV/1962","18",Esquina da Sinuca,"DOPS
Diário da Tarde",Comício/Concentração,Estudantes,Comício dos estudantes secundaristas contra o aumento de 55% das anuidades escolares,Ciclo 1,./0.png
-43.9434197482088,-19.923788,Atentados à bomba,Carestia,1962/03/16,"1962","200","9, 11",Auditório da Secretaria de Saúde e Assistência,DOPS,Assembleia/Reunião,Sindicatos,"""A campanha inclui uma concentração-monstro com a presença dos dirigentes de todos os Sindicatos e Federações e de organizações estudantis e de milhares de trabalhadores e donas de casa.""",Ciclo 1,./0.png
-43.942432,-19.914887,Ato contra Aumento do Custo de Vida,Ajuste tarifas táxis,1962/04/11,"1962","110","1",Centro de Choferes de Belo Horizonte,DOPS,Assembleia/Reunião,Trabalhadores,Reunião dos motoristas de táxi associados ao Centro de Choferes de Belo Horizonte para reinvindicação de aumento de 30% na bandeira e 30% por quilômetro rodado,Ciclo 1,./0.png
-43.9434197482088,-19.923788,"Ato escadaria São José pela liberação presos políticos, direito de greve e anistia",Reformas de base,1962/04/29,"1962","-","-",Auditório da Secretaria de Saúde e Assistência,"Linha do tempo
1960-1983",Assembleia/Reunião,Movimento de moradores de favela,"Realização do I Congresso de Trabalhadores Favelados de BH nos dias 28 e 29 de abril de 1962. Inserido no contexto das reformas de base, o evento tinha como tônicas o direito à moradia e a reforma urbana. O evento foi promovido pelo movimento favelad",Ciclo 1,./0.png
-43.940944869373,-19.9152048870486,Ato na Câmara Municipal pela Anistia foi dispersado pelo uso de bombas de gás lacrimogêneo,"Carestia; Reforma Agrária; Melhoria de salários e de trabalho; Reforma Urbana",1962/05/02,"1962","138","40",Praça Rio Branco,DOPS,Comício/Concentração,Ativistas,"Concentração para protestar contra a Carestia, e pelo aumento de salários, a reforma agrária e a reforma urbana em frente à Feira de Amostras (atual Praça da Rodoviária) entre 19:30-22h. O agente do DOPS que acompanhou a movimentação a considero",Ciclo 1,./0.png
-43.935634,-19.922916,Ato pela Anistia dos presos políticos em Pernambuco,Ato pela anistia,1962/05/09,"1962","188","90",Teatro Francisco Nunes,DOPS,Encenação,Estudantes,A peça de montagem da UNE fazia críticas ao imperialismo estadonidense,"-",./0.png
-43.942148,-19.919698,Ato público contra aumento do leite,Melhoria de salários e de trabalho,1962/05/10,"1962","188","87",Sindicato dos Bancários,DOPS,Assembleia/Reunião,Sindicatos,"Reunião de trabalhadores da mineração de Belo Horizonte, Nova Lima e Itabirito na sede do Sindicato dos Bancários em Belo Horizonte. Na ocasião, foi resolvido pelo acordo com o empregadores.",Ciclo 1,./0.png
-43.937924,-19.919725,Ato público contra o aumento da tarifa do ônibus e contra a carestia,Centro de Cultura Popular,1962/05/15,"1962","188","69",DCE/UFMG,DOPS,Sedes,Estudantes,Os centros de cultura eram parte do projeto nacional da UNE,Ciclo 1,./0.png
-43.941442,-19.920927,Ato público contra o aumento do leite,Carestia,1962/05/16,"1962","188","73",Sindicato dos Trabalhadores nas Indústrias de Fiação e Tecelagem de Belo Horizonte,DOPS,Assembleia/Reunião,"Movimento de moradores de favela; Estudantes; Trabalhadores","Reunião na Sede da Federação dos Tecelões reuniu estudantes, moradores de favela, operários e donas de casa para discutir ações contra a Carestia. Foram planejadas diversas ações como comícios-relâmpagos, concentração-monstro e passeatas no",Ciclo 1,./0.png
-43.942432,-19.914887,Ato público contra o terror no Auditório da Faculdade de Medicina,Ato contra o terror,1962/05/17,"1962","188",77 -71,Centro de Choferes de Belo Horizonte,DOPS,Assembleia/Reunião,Movimento de moradores de favela,,"-",./0.png
-44.006202,-19.966818,Ato Público em comemoração à 30o Declaração dos Direitos Humanos,Greve operários,1962/05/19,"1962","188","70",Mannesmann,DOPS,Greve,Sindicatos,Greve durou de poucas horas e teve como objetivo demonstrar força pela melhora dos salários,Ciclo 1,./0.png
-43.942334,-19.918121,"Bomba é atirada contra a casa de Helena Greco, presidenta do comitê mineiro do MFPA",Melhoria de salários e de trabalho,1962/05/24,"1962","290","62",Associação dos Servidores Públicos Municipais - ASPM,DOPS,Assembleia/Reunião,Sindicatos,"Reunião dos presidentes de Associações de classe dos servidores estaduais para ""tratar da questão do aumento de 50% pleitado pela classe""",Ciclo 1,./0.png
-43.941442,-19.920927,Bomba explode na Casa do Jornalista,Contexto político-social,1962/05/30,"1962","290","56",Sindicato dos Trabalhadores nas Indústrias de Fiação e Tecelagem de Belo Horizonte,DOPS,Assembleia/Reunião,"Estudantes; Trabalhadores","Reunião de dirigentes de sindicatos, Federações e Confederações de Trabalhadores, líderes estudantis e representantes de entidades do funcionalismo para debater  o contexto político-social. Um manifesto com o posicionamento do coletivo foi esboça",Ciclo 1,./0.png
-43.9434197482088,-19.923788,Bomba explode na sede da UTE-MG,"Greve estudantil; Aumento anuidades escolares",1962/06/01,"1962","290","57",Auditório da Secretaria de Saúde e Assistência,DOPS,Assembleia/Reunião,Estudantes,Assembléia geral estudantil para decidir sobre nova greve,Ciclo 1,./0.png
-43.9386367185041,-19.9189145779578,Campanha para aumento salarial dos bancários,Aumento anuidades escolares,1962/06/05,"1962","188","23",Praça Sete de Setembro,DOPS,Comício/Concentração,Estudantes,"Durante a noite, cerca de 100 estudantes secundaristas tentaram improvisar comício na Praça Sete aproveitando-se palanque esportivo. Quando avisados de que não poderia ser utilizado, os estudantes seguiram para a Esquina da Sinuca",Ciclo 1,./0.png
-43.9364,-19.908417,Campanha pela Constituinte e a Anistia,"Greve estudantil; Aumento anuidades escolares",1962/06/08,"1962","221","8",Colégio Batista,DOPS,Greve,Estudantes,"Estudantes do Colégio Batista sã denunciados por homem que passava pelo lugar na circunstância da greve estudantil. Ele alegou que os estudantes grevistas estariam ""gritando e jogando bombas na frente do Educandário"" (DOPS, Pasta 0221)",Ciclo 1,./0.png
